iter	Logloss	Accuracy
0	0.5149363215	0.9770833333
1	0.3911018181	0.976953125
2	0.3075633277	0.978125
3	0.2348408379	0.9779947917
4	0.1944631889	0.978125
5	0.1664028404	0.9779947917
6	0.1476542105	0.978125
7	0.1335371035	0.9778645833
8	0.1112244767	0.9778645833
9	0.1019664932	0.9779947917
10	0.09619908378	0.978125
11	0.0873817025	0.9779947917
12	0.08189278865	0.978125
13	0.07859317516	0.9778645833
14	0.0767992517	0.9779947917
15	0.07564941427	0.978125
16	0.0741417901	0.9779947917
17	0.07315487768	0.9779947917
18	0.07057545448	0.977734375
19	0.06712143672	0.9778645833
20	0.0657161248	0.977734375
21	0.06547527563	0.9778645833
22	0.06455731831	0.9778645833
23	0.06377632978	0.9778645833
24	0.0634056622	0.9779947917
25	0.06084696654	0.978125
26	0.05933392944	0.9779947917
27	0.05801802367	0.9778645833
28	0.05768466567	0.9779947917
29	0.05671011044	0.9779947917
30	0.05646680199	0.9779947917
31	0.05625301625	0.9783854167
32	0.05545154436	0.9782552083
33	0.05498540774	0.9782552083
34	0.05462992322	0.9783854167
35	0.05437036259	0.9783854167
36	0.05353973627	0.9783854167
37	0.0534073069	0.9783854167
38	0.05331681277	0.9783854167
39	0.05308859091	0.978515625
40	0.0527658186	0.9783854167
41	0.05266021098	0.9783854167
42	0.05242906502	0.978515625
43	0.05229592856	0.9786458333
44	0.05202180302	0.978515625
45	0.05198583131	0.978515625
46	0.05179616858	0.978515625
47	0.05166055984	0.9786458333
48	0.0513992124	0.9786458333
49	0.05119621402	0.9791666667
50	0.05102622894	0.9795572917
51	0.05069418682	0.9798177083
52	0.05051180807	0.9799479167
53	0.05041825234	0.9802083333
54	0.05024877848	0.9799479167
55	0.0501329503	0.9802083333
56	0.05004548502	0.9802083333
57	0.04940987388	0.9802083333
58	0.04930624747	0.9803385417
59	0.04921717895	0.9803385417
60	0.04912933635	0.98046875
61	0.04895795165	0.9802083333
62	0.04876957262	0.9802083333
63	0.0487236655	0.9803385417
64	0.04870233429	0.9803385417
65	0.04865403411	0.9803385417
66	0.04857623213	0.9803385417
67	0.04844849714	0.9802083333
68	0.04840176566	0.9802083333
69	0.0482647595	0.9802083333
70	0.04819944622	0.9802083333
71	0.04797218365	0.9802083333
72	0.04788365058	0.9802083333
73	0.04785269636	0.9802083333
74	0.04768972277	0.9803385417
75	0.04767575806	0.9802083333
