iter	Logloss	Accuracy
88	0.4084739695	0.818702288
89	0.4084156205	0.8187572004
90	0.4081710942	0.8188230953
91	0.408105626	0.8188878919
92	0.4080245117	0.8189559833
93	0.4079743841	0.8189834395
94	0.4079000406	0.8190416467
95	0.4078267994	0.819118524
96	0.4077170029	0.8192250541
97	0.4074779473	0.819308521
98	0.4073951279	0.8193381737
99	0.4073356658	0.8193469597
100	0.4072258909	0.8194051668
101	0.4071737097	0.8194447038
102	0.4070791707	0.8195171881
103	0.4069573436	0.8195237776
104	0.4068040546	0.8195655111
105	0.406727897	0.8195995567
106	0.4066641531	0.8197115781
107	0.4065550179	0.8197697852
108	0.406492497	0.8197983397
109	0.4064348516	0.8198741188
110	0.4063133386	0.8199422102
111	0.4062517962	0.8199784524
112	0.406206354	0.8200113998
113	0.4061394979	0.820056428
114	0.4060753544	0.8200805895
115	0.4059517079	0.8201420914
116	0.4058734532	0.8201508773
117	0.4058291211	0.8202035932
118	0.4057804306	0.8202508179
119	0.4057384774	0.8202519162
120	0.4056952984	0.8202804706
121	0.4055995673	0.8204023762
122	0.4055368533	0.8204265376
123	0.4054996665	0.8204836465
124	0.4054152213	0.8205363624
125	0.405372362	0.8205187905
126	0.4053329143	0.820520987
127	0.4052664318	0.8205407554
128	0.4051364883	0.8206659557
129	0.4050936522	0.8206879207
130	0.4050464259	0.8207120822
131	0.4049860559	0.8207790753
132	0.4049455805	0.8208021385
133	0.4048677448	0.8207900578
134	0.4048220514	0.8207922543
135	0.4047359686	0.8208186122
136	0.4046689499	0.8208636404
137	0.4046156259	0.8208899984
138	0.4045683839	0.8209613845
139	0.4045197526	0.8210031179
140	0.4044817288	0.8210020197
141	0.4044210289	0.8210558338
142	0.4043715869	0.8210909778
143	0.404312357	0.821118434
144	0.4042414076	0.8211469884
145	0.4041244572	0.8212985467
146	0.4040791492	0.8213161187
147	0.4038834356	0.8213622451
148	0.4038270592	0.821406175
149	0.403788923	0.8213765223
150	0.4036653596	0.8214731681
151	0.403622398	0.8214929366
152	0.4035139578	0.8215862877
153	0.403441977	0.8216368071
154	0.4033907839	0.8216554773
155	0.4033206335	0.8216653616
156	0.4032591624	0.8217180775
157	0.4031223256	0.8217993479
158	0.4030934415	0.8218377865
159	0.403044284	0.8218817165
160	0.4029794536	0.8218959937
161	0.4028608187	0.8219629868
162	0.4028263701	0.8219629868
163	0.4028078111	0.8219937378
164	0.402772767	0.8220200957
165	0.4026942319	0.8220629274
166	0.4026557748	0.8220804994
167	0.4025913211	0.822158475
168	0.4025509632	0.8221474925
169	0.4024953011	0.8221551803
170	0.4023789658	0.8222518261
171	0.4022937003	0.8222573174
172	0.4022245931	0.822291363
173	0.4021907473	0.8223429807
174	0.4021577856	0.8223913036
175	0.4020874727	0.8224626898
176	0.4020529207	0.8224451178
177	0.4020304679	0.8224561003
178	0.4019952756	0.8224868512
179	0.4019094278	0.8225604339
180	0.4018817998	0.8225802023
181	0.4018499665	0.8226241322
182	0.4017662799	0.8226636692
183	0.4017085147	0.8226768482
184	0.4016844085	0.8227021079
185	0.4016463346	0.8226889289
186	0.4016224093	0.8227383501
187	0.401584074	0.8227537255
188	0.4015560333	0.8227658063
189	0.4015273221	0.8227658063
190	0.4014755233	0.8228119327
191	0.4014388411	0.8228097362
192	0.4013602925	0.8228800241
193	0.4013295871	0.822897596
194	0.4012543137	0.8229766699
195	0.4012099606	0.8229744734
196	0.4011688124	0.8229887506
197	0.4009876345	0.8230535473
198	0.4009525285	0.8230678245
199	0.4008621147	0.8231128527
200	0.4008251265	0.823087593
201	0.4008042319	0.8231139509
202	0.400746294	0.8231655686
203	0.4007203035	0.8231644704
204	0.4006647878	0.8231403089
205	0.4006270701	0.8231490949
206	0.4005915559	0.8231996143
207	0.4005124834	0.823216088
208	0.4004637326	0.823242446
209	0.4003002068	0.8233511725
210	0.4002170976	0.8233830217
211	0.4001823987	0.8234005937
212	0.400139978	0.8234104779
213	0.4001084814	0.8234115762
214	0.4000781905	0.8234423271
215	0.4000379945	0.8234950431
216	0.3999917701	0.8235356782
217	0.3999568192	0.823552152
218	0.3999209862	0.8235774117
219	0.3998980412	0.8235949836
220	0.39983696	0.8236531908
221	0.3998102424	0.8236608785
222	0.3997651592	0.8236685663
223	0.399733014	0.8237059067
224	0.3996973073	0.8237498366
225	0.3996448085	0.8237531314
226	0.3995259681	0.823831107
227	0.3994893568	0.8238300088
228	0.3994697232	0.8238761352
229	0.3994210359	0.8239387353
230	0.3993903449	0.8239826653
231	0.3993585759	0.8239969425
232	0.399337657	0.8239892547
233	0.3993148577	0.8240222022
234	0.3992829139	0.8240243987
235	0.3992546869	0.8240320864
236	0.3992268674	0.8240705251
237	0.3992001834	0.8240584444
238	0.3991777572	0.8240902936
239	0.3991299649	0.8240837041
240	0.3990882962	0.824110062
241	0.399044702	0.8241155533
242	0.3990153008	0.824105669
243	0.3989960022	0.8241375182
244	0.3989159276	0.8242264763
245	0.3988894927	0.8242242799
246	0.3988618373	0.8242550308
247	0.3988017481	0.8243604626
248	0.398761459	0.8243758381
249	0.3987265734	0.8244186698
250	0.3986755088	0.8244142768
251	0.3986321063	0.824450519
252	0.3986174719	0.8244680909
253	0.3985971333	0.8244669927
254	0.398579093	0.8244922524
255	0.3984435701	0.8245262981
256	0.3984284369	0.8245603438
257	0.3984005675	0.8245581473
258	0.3983822621	0.8245878
259	0.3983492584	0.824609765
260	0.3983309237	0.8246405159
261	0.398300341	0.8246547931
262	0.3982208698	0.8246767581
263	0.3981977462	0.824711902
264	0.398172008	0.8247020178
265	0.3981341883	0.8246767581
266	0.3980919857	0.8247097055
267	0.3980723473	0.8247503407
268	0.3980348198	0.8247810917
269	0.3979794733	0.8248250216
270	0.3979457987	0.8248535761
271	0.3978860508	0.8249029972
272	0.3978537789	0.8248953095
273	0.397815452	0.8249238639
274	0.3977909682	0.8248997025
275	0.3977650114	0.824919471
276	0.3977359382	0.8249008007
277	0.3977147062	0.8249403377
278	0.3976891219	0.8249326499
279	0.3976514979	0.8249546149
280	0.3976201963	0.8249721869
281	0.3976011646	0.8249897588
282	0.397577983	0.8250369835
283	0.3975060224	0.8250765204
284	0.3974874438	0.8250918959
285	0.3974616414	0.8251149591
286	0.3974468123	0.8251061731
287	0.3974026537	0.8251072714
288	0.397376335	0.8251083696
289	0.3973568241	0.8251501031
290	0.3973375532	0.8251973277
291	0.3973100149	0.82518964
