iter	Passed	Remaining
401	13041	19399
402	13087	19387
403	13129	19369
404	13153	19323
405	13208	19325
406	13238	19288
407	13268	19252
408	13290	19204
409	13319	19166
410	13350	19133
411	13382	19099
412	13412	19063
413	13444	19029
414	13474	18993
415	13505	18959
416	13536	18925
417	13566	18889
418	13598	18855
419	13636	18831
420	13659	18786
421	13691	18752
422	13722	18718
423	13752	18682
424	13782	18647
425	13813	18613
426	13844	18578
427	13875	18543
428	13907	18510
429	13938	18475
430	13969	18442
431	14001	18408
432	14033	18377
433	14065	18343
434	14100	18313
435	14131	18280
436	14162	18246
437	14212	18236
438	14246	18205
439	14279	18173
440	14312	18141
441	14343	18108
442	14375	18074
443	14407	18042
444	14439	18009
445	14471	17975
446	14502	17941
447	14533	17907
448	14564	17873
449	14596	17839
450	14629	17807
451	14656	17769
452	14691	17740
453	14722	17705
454	14753	17672
455	14784	17637
456	14815	17603
457	14846	17569
458	14877	17535
459	14908	17501
460	14939	17466
461	14969	17432
462	15001	17398
463	15031	17363
464	15062	17330
465	15092	17295
466	15124	17261
467	15155	17228
468	15189	17197
469	15294	17247
470	15324	17211
471	15356	17178
472	15377	17133
473	15409	17100
474	15440	17065
475	15472	17032
476	15497	16992
477	15528	16957
478	15560	16924
479	15591	16890
480	15614	16848
481	15644	16813
482	15674	16778
483	15707	16746
484	15747	16721
485	15782	16691
486	15814	16658
487	15845	16624
488	15866	16580
489	15896	16545
490	15922	16506
491	15953	16472
492	15970	16424
493	16002	16391
494	16033	16357
495	16065	16324
496	16097	16291
497	16132	16262
498	16169	16234
499	16206	16206
500	16239	16174
501	16292	16163
502	16324	16129
503	16355	16095
504	16387	16062
505	16419	16029
506	16450	15995
507	16480	15961
508	16511	15927
509	16542	15893
510	16570	15856
511	16602	15824
512	16632	15789
513	16661	15753
514	16690	15718
515	16725	15687
516	16764	15662
517	16794	15627
518	16825	15593
519	16855	15559
520	16886	15525
521	16919	15492
522	16949	15458
523	16979	15424
524	17010	15390
525	17039	15355
526	17063	15315
527	17093	15280
528	17123	15245
529	17153	15211
530	17186	15179
531	17216	15145
532	17248	15112
533	17278	15078
534	17332	15064
535	17363	15031
536	17397	15000
537	17427	14965
538	17460	14933
539	17495	14903
540	17520	14864
541	17554	14834
542	17590	14804
543	17622	14771
544	17653	14737
545	17683	14703
546	17713	14669
547	17737	14629
548	17780	14606
549	17825	14584
550	17867	14560
551	17906	14533
552	17948	14508
553	17984	14478
554	18021	14449
555	18057	14420
556	18071	14372
557	18110	14345
558	18150	14319
559	18186	14289
560	18224	14261
561	18257	14229
562	18292	14198
563	18348	14184
564	18387	14157
565	18426	14128
566	18466	14101
567	18500	14070
568	18538	14042
569	18572	14010
570	18606	13979
571	18643	13949
572	18675	13917
573	18707	13883
574	18741	13852
575	18778	13822
576	18816	13794
577	18852	13764
578	18888	13733
579	18924	13704
580	18960	13673
581	18990	13639
582	19022	13606
583	19055	13573
584	19087	13540
585	19118	13507
586	19149	13472
587	19180	13439
588	19209	13404
589	19241	13371
590	19272	13337
591	19285	13291
592	19315	13257
593	19367	13237
594	19400	13205
595	19431	13171
596	19462	13138
597	19492	13103
598	19524	13070
599	19555	13036
600	19586	13003
601	19616	12969
602	19647	12935
603	19682	12904
604	19712	12869
605	19741	12835
606	19772	12801
607	19808	12771
608	19848	12743
609	19877	12708
610	19907	12674
611	19937	12640
612	19968	12606
613	19997	12572
614	20028	12538
615	20056	12502
616	20087	12469
617	20116	12434
618	20140	12396
619	20169	12362
620	20199	12328
621	20231	12294
622	20261	12261
623	20291	12227
624	20321	12192
625	20350	12158
626	20399	12135
627	20432	12103
628	20463	12069
629	20493	12035
630	20524	12002
631	20556	11969
632	20587	11936
633	20617	11902
634	20647	11868
635	20677	11834
636	20707	11800
637	20737	11766
638	20762	11729
639	20791	11695
640	20823	11662
641	20858	11631
642	20895	11601
643	20929	11569
644	20961	11537
645	20993	11504
646	21024	11470
647	21058	11439
648	21090	11406
649	21120	11372
650	21151	11339
651	21181	11305
652	21214	11273
653	21247	11241
654	21279	11208
655	21311	11175
656	21334	11138
657	21365	11104
658	21381	11063
659	21439	11044
660	21473	11012
661	21505	10980
662	21535	10946
663	21569	10914
664	21601	10881
665	21632	10848
666	21664	10815
667	21695	10782
668	21725	10749
669	21760	10717
670	21791	10684
671	21823	10652
672	21857	10620
673	21894	10590
674	21928	10558
675	21959	10525
676	21989	10491
677	22019	10457
678	22048	10423
679	22079	10390
680	22108	10356
681	22139	10323
682	22176	10292
683	22208	10260
684	22242	10228
685	22273	10195
686	22293	10156
687	22326	10124
688	22357	10091
689	22389	10059
690	22421	10026
691	22482	10006
692	22511	9972
693	22545	9940
694	22576	9907
695	22589	9866
696	22618	9832
697	22648	9799
698	22679	9766
699	22710	9732
700	22740	9699
701	22753	9658
702	22784	9625
703	22815	9592
704	22835	9555
705	22865	9522
706	22898	9489
707	22932	9457
708	22971	9428
709	23001	9395
710	23019	9356
711	23048	9323
712	23080	9290
713	23113	9258
714	23145	9225
715	23178	9193
716	23213	9162
717	23245	9129
718	23283	9099
719	23317	9068
720	23346	9034
721	23374	9000
722	23401	8965
723	23431	8932
724	23461	8899
725	23527	8879
726	23558	8846
727	23588	8813
728	23618	8780
729	23648	8746
730	23678	8713
731	23707	8679
732	23736	8646
733	23766	8613
734	23796	8579
735	23826	8546
736	23856	8513
737	23888	8480
738	23919	8447
739	23955	8416
740	23990	8385
741	24020	8352
742	24047	8318
743	24077	8284
744	24107	8251
745	24139	8218
746	24169	8185
747	24200	8153
748	24230	8119
749	24261	8087
750	24290	8053
751	24320	8020
752	24350	7987
753	24380	7954
754	24410	7921
755	24440	7888
756	24469	7854
757	24499	7821
758	24555	7796
759	24586	7764
760	24616	7731
761	24648	7698
762	24678	7665
763	24708	7632
764	24739	7599
765	24768	7566
766	24797	7533
767	24827	7500
768	24858	7467
769	24887	7434
770	24918	7401
771	24949	7368
772	24985	7337
773	25021	7306
774	25056	7274
775	25085	7241
776	25112	7207
777	25142	7174
778	25172	7141
779	25204	7108
780	25234	7075
781	25264	7042
782	25294	7009
783	25324	6977
784	25354	6944
785	25383	6911
786	25413	6877
787	25443	6845
788	25473	6812
789	25503	6779
790	25533	6746
791	25596	6722
792	25629	6690
793	25659	6657
794	25691	6624
795	25722	6592
796	25752	6559
797	25782	6526
798	25810	6492
799	25840	6460
800	25870	6427
801	25900	6394
802	25931	6361
803	25961	6328
804	25991	6296
805	26022	6263
