iter	Passed	Remaining
398	93553	140916
399	93801	140701
400	94054	140495
401	94304	140284
402	94549	140065
403	94810	139868
404	95070	139672
405	95295	139422
406	95541	139204
407	95765	138953
408	96066	138814
409	96283	138554
410	96517	138317
411	96732	138055
412	96948	137793
413	97182	137557
414	97410	137313
415	97631	137059
416	97841	136790
417	98064	136540
418	98298	136303
419	98529	136064
420	98753	135815
421	98963	135547
422	99210	135329
423	99420	135061
424	99661	134836
425	99879	134579
426	100110	134339
427	100348	134111
428	100565	133852
429	100804	133624
430	101025	133371
431	101285	133171
432	101520	132937
433	101740	132684
434	101989	132468
435	102214	132222
436	102465	132009
437	102683	131753
438	102915	131516
439	103150	131282
440	103398	131064
441	103603	130794
442	103832	130552
443	104066	130318
444	104284	130063
445	104521	129831
446	104745	129583
447	104993	129367
448	105208	129108
449	105444	128877
450	105671	128632
451	105930	128429
452	106164	128193
453	106399	127960
454	106650	127746
455	106909	127541
456	107142	127305
457	107394	127090
458	107629	126857
459	107865	126624
460	108110	126402
461	108325	126144
462	108560	125911
463	108775	125654
464	109003	125412
465	109250	125192
466	109490	124964
467	109723	124728
468	109953	124488
469	110235	124308
470	110486	124092
471	110729	123866
472	110970	123639
473	111207	123406
474	111437	123168
475	111699	122962
476	111928	122722
477	112151	122474
478	112376	122229
479	112598	121982
480	112831	121745
481	113064	121509
482	113323	121300
483	113554	121062
484	113790	120828
485	114023	120592
486	114269	120370
487	114487	120117
488	114716	119877
489	114962	119654
490	115193	119416
491	115436	119190
492	115662	118946
493	115911	118726
494	116130	118476
495	116372	118249
496	116612	118019
497	116832	117771
498	117066	117535
499	117303	117303
500	117532	117062
501	117754	116816
502	118001	116593
503	118234	116358
504	118485	116139
505	118704	115889
506	118949	115664
507	119178	115425
508	119404	115182
509	119650	114958
510	119877	114716
511	120135	114504
512	120347	114248
513	120572	114004
514	120806	113769
515	121057	113550
516	121298	113321
517	121532	113085
518	121775	112859
519	122012	112627
520	122256	112400
521	122486	112161
522	122722	111928
523	122947	111684
524	123182	111450
525	123425	111223
526	123649	110979
527	123874	110736
528	124093	110487
529	124327	110252
530	124547	110005
531	124784	109773
532	125020	109539
533	125247	109298
534	125520	109097
535	125758	108865
536	126020	108654
537	126275	108437
538	126525	108215
539	126764	107984
540	127011	107760
541	127232	107514
542	127461	107273
543	127670	107017
544	127889	106769
545	128117	106529
546	128367	106308
547	128650	106113
548	128879	105873
549	129117	105641
550	129358	105411
551	129573	105161
552	129820	104936
553	130052	104699
554	130305	104479
555	130543	104246
556	130769	104005
557	130997	103764
558	131229	103528
559	131459	103289
560	131696	103056
561	131951	102837
562	132175	102594
563	132409	102358
564	132631	102114
565	132876	101887
566	133081	101630
567	133344	101416
568	133587	101188
569	133817	100950
570	134044	100709
571	134298	100489
572	134534	100254
573	134759	100013
574	135002	99784
575	135224	99540
576	135467	99311
577	135697	99073
578	135953	98854
579	136169	98605
580	136397	98365
581	136623	98124
582	136843	97879
583	137092	97655
584	137317	97413
585	137570	97191
586	137793	96948
587	138046	96726
588	138286	96495
589	138505	96249
590	138726	96005
591	138968	95775
592	139232	95560
593	139460	95321
594	139710	95096
595	139930	94852
596	140145	94604
597	140366	94360
598	140600	94124
599	140825	93883
600	141055	93646
601	141324	93434
602	141556	93197
603	141800	92968
604	142052	92745
605	142291	92512
606	142552	92294
607	142792	92063
608	143042	91838
609	143265	91595
610	143515	91370
611	143734	91125
612	143986	90901
613	144246	90682
614	144509	90465
615	144751	90234
616	144996	90005
617	145240	89776
618	145489	89550
619	145734	89321
620	145963	89082
621	146199	88848
622	146427	88608
623	146669	88377
624	146904	88142
625	147154	87916
626	147385	87678
627	147602	87433
628	147834	87196
629	148073	86963
630	148335	86744
631	148554	86500
632	148854	86302
633	149089	86067
634	149330	85835
635	149561	85598
636	149790	85359
637	150029	85126
638	150247	84881
639	150468	84638
640	150688	84394
641	150941	84169
642	151156	83923
643	151407	83697
644	151642	83461
645	151889	83233
646	152109	82990
647	152329	82746
648	152576	82518
649	152814	82284
650	153049	82049
651	153287	81815
652	153519	81579
653	153736	81334
654	153961	81094
655	154193	80857
656	154417	80616
657	154659	80385
658	154890	80148
659	155106	79903
660	155341	79668
661	155563	79426
662	155793	79189
663	156015	78947
664	156244	78709
665	156450	78460
666	156673	78219
667	156903	77981
668	157150	77753
669	157401	77526
670	157642	77294
671	157889	77065
672	158119	76827
673	158366	76598
674	158607	76366
675	158837	76129
676	159050	75884
677	159288	75650
678	159516	75411
679	159742	75172
680	159980	74939
681	160227	74710
682	160480	74483
683	160698	74240
684	160935	74006
685	161169	73771
686	161402	73535
687	161625	73295
688	161835	73048
689	162061	72810
690	162290	72572
691	162510	72331
692	162744	72096
693	162967	71855
694	163214	71626
695	163451	71392
696	163695	71161
697	163921	70922
698	164139	70681
699	164378	70448
700	164580	70199
701	164820	69966
702	165038	69724
703	165304	69502
704	165534	69266
705	165754	69025
706	166003	68796
707	166258	68569
708	166486	68332
709	166712	68093
710	166973	67869
711	167186	67626
712	167428	67394
713	167647	67152
714	167863	66910
715	168096	66675
716	168337	66443
717	168571	66207
718	168808	65973
719	169074	65751
720	169314	65518
721	169544	65281
722	169790	65051
723	170009	64810
724	170239	64573
725	170483	64342
726	170731	64112
727	170965	63877
728	171181	63635
