iter	RMSE
0	47.04961523
1	47.00613357
2	46.96574221
3	46.92864566
4	46.88990376
5	46.85676762
6	46.82176447
7	46.79486723
8	46.76488835
9	46.73794856
10	46.70875162
11	46.67998766
12	46.65045725
13	46.63423935
14	46.61052037
15	46.59021035
16	46.57033024
17	46.55075747
18	46.53022269
19	46.50818703
20	46.4905656
21	46.47097698
22	46.45096436
23	46.43839213
24	46.42609853
25	46.4101587
26	46.39437926
27	46.37491486
28	46.35688351
29	46.34423964
30	46.32798022
31	46.31741251
32	46.3076212
33	46.28954086
34	46.27633666
35	46.26397535
36	46.2550014
37	46.23868018
38	46.2303897
39	46.21728458
40	46.20246489
41	46.19021577
42	46.17800534
43	46.16771072
44	46.15855198
45	46.14731193
46	46.13781403
47	46.13091824
48	46.1194777
49	46.11115589
50	46.09910805
51	46.09484429
52	46.08799436
53	46.08000628
54	46.07050729
55	46.06223513
56	46.05341472
57	46.04771768
58	46.04018361
59	46.03472585
60	46.02799508
61	46.01993715
62	46.0106137
63	46.0025301
64	45.99283325
65	45.98614758
66	45.97855493
67	45.96921246
68	45.96042293
69	45.9541086
70	45.94643727
71	45.93767973
72	45.93074091
73	45.92691864
74	45.92212129
75	45.91495273
76	45.91008492
77	45.90179347
78	45.89319201
79	45.88645291
80	45.87988523
81	45.87529066
82	45.86676068
83	45.86153034
84	45.85513653
85	45.84951609
86	45.84532008
87	45.8408678
88	45.83546861
89	45.8267161
90	45.8204452
91	45.81622571
92	45.81285405
93	45.80471347
94	45.79618028
95	45.79028005
96	45.783639
97	45.77721828
98	45.7719374
99	45.76565906
100	45.75957259
101	45.7570756
102	45.75017566
103	45.74556388
104	45.74066223
105	45.73658828
106	45.73083479
107	45.72740782
108	45.72118872
109	45.71601037
110	45.70999665
111	45.70609044
112	45.70234932
113	45.69847475
114	45.69446547
115	45.69087962
116	45.68569302
117	45.67882513
118	45.67719683
119	45.67333669
120	45.66737712
121	45.66017499
122	45.65399211
123	45.64412501
124	45.64131414
125	45.63635214
126	45.6317028
127	45.62771227
128	45.62342569
129	45.61833586
130	45.61649409
131	45.61432308
132	45.60929533
133	45.60567555
134	45.60160807
135	45.59756944
136	45.59382772
137	45.59033141
138	45.58743554
139	45.5814464
140	45.57717117
141	45.57446501
142	45.57186017
143	45.56814094
144	45.56540015
145	45.56365694
146	45.55805202
147	45.55449929
148	45.54856637
149	45.54365435
150	45.53815205
151	45.53106099
152	45.52752347
153	45.52294128
154	45.51870366
155	45.51444812
156	45.51119154
157	45.50941604
158	45.50354849
159	45.50016448
160	45.49810807
161	45.49356605
162	45.48805731
163	45.48293987
164	45.48001019
165	45.47760024
166	45.47284614
167	45.46833031
168	45.46458813
169	45.46269535
170	45.45879838
171	45.45260908
172	45.44958533
173	45.44752312
174	45.44381153
175	45.44076868
176	45.43760771
177	45.43604005
178	45.43334351
179	45.43211208
180	45.42858774
181	45.42432327
182	45.42080601
183	45.41620206
184	45.41048826
185	45.40783112
186	45.40339495
187	45.39873922
188	45.39653703
189	45.39358855
190	45.38956992
191	45.38725649
192	45.38438244
193	45.3799616
194	45.37682144
195	45.37362177
196	45.37033709
197	45.36712352
198	45.36357137
199	45.35974276
200	45.35691876
201	45.355074
202	45.35203745
203	45.34912365
204	45.34575064
205	45.34386986
206	45.33521315
207	45.33341432
208	45.33018749
209	45.32637193
210	45.32349485
211	45.32061415
212	45.31892808
213	45.31360098
214	45.30912945
215	45.30758738
216	45.30478297
217	45.30237442
218	45.29904808
219	45.29656966
220	45.29339514
221	45.2895764
222	45.28721447
223	45.28464125
224	45.28227806
225	45.27926873
226	45.2767462
227	45.2735391
228	45.2703073
229	45.26655593
230	45.26363922
231	45.26106918
232	45.25579842
233	45.25148045
234	45.24954054
235	45.24517412
236	45.24087385
237	45.23808633
238	45.23474844
239	45.23303922
240	45.23065917
241	45.22759955
242	45.22522374
243	45.22372217
244	45.21955155
245	45.21495885
246	45.21223597
247	45.20886913
248	45.20638895
249	45.20388941
250	45.1979007
251	45.19470884
252	45.18982395
253	45.18780486
254	45.18311814
255	45.180506
256	45.17835482
257	45.17623159
258	45.17248922
259	45.17087022
260	45.16852369
261	45.16606914
262	45.16441219
263	45.16214804
264	45.1592634
265	45.15607854
266	45.15456962
267	45.1521118
268	45.14967543
269	45.14763596
270	45.14472273
271	45.14288614
272	45.14150711
273	45.13878403
274	45.13692525
275	45.13343068
276	45.13162687
277	45.12956958
278	45.12743159
279	45.12464938
280	45.12253245
281	45.12106366
282	45.11818732
283	45.11481418
284	45.11256684
285	45.10997249
286	45.10741243
287	45.10629367
288	45.10435514
289	45.10300484
290	45.10070653
291	45.09931659
292	45.09727598
293	45.09554799
294	45.09314881
295	45.09192179
296	45.08827826
297	45.08606711
298	45.08433498
299	45.08186028
300	45.07921647
301	45.07733281
302	45.0748413
303	45.0725937
304	45.07029508
305	45.06795132
306	45.06658952
307	45.06537036
308	45.06390345
309	45.06137286
310	45.05857178
311	45.05646651
312	45.05437349
313	45.05115245
314	45.04865349
315	45.04440428
316	45.04320033
317	45.04003784
318	45.03883368
319	45.03823495
320	45.03526301
321	45.0331829
322	45.0296647
323	45.02839019
324	45.02599582
325	45.02377733
326	45.02215458
327	45.02027351
328	45.0171452
329	45.0144759
330	45.01233331
331	45.00971957
332	45.00871062
333	45.00688711
334	45.00412659
335	45.00216525
336	45.00026972
337	44.99877103
338	44.99607656
339	44.99480818
340	44.99280958
341	44.9891892
342	44.98775757
343	44.98588492
344	44.98160404
345	44.98042608
346	44.97837404
347	44.97559528
348	44.97030001
349	44.96861348
350	44.96458429
351	44.96225006
352	44.96119925
353	44.95735966
354	44.9557167
355	44.95369038
356	44.95231488
357	44.95056893
358	44.9484126
359	44.94712171
360	44.9440175
361	44.94094128
362	44.93839799
363	44.93637036
364	44.93436977
365	44.93134753
366	44.92873638
367	44.92598828
368	44.92274965
369	44.92054169
370	44.91835592
371	44.91687157
372	44.91418312
373	44.91267836
374	44.90935349
375	44.90769744
376	44.90534414
377	44.90405742
378	44.9024956
379	44.90066468
380	44.89958945
381	44.8976551
382	44.89534339
383	44.89230172
384	44.8902594
385	44.88850715
386	44.88581288
387	44.88439106
388	44.88200738
389	44.87937519
390	44.87820215
391	44.87702696
392	44.87477497
393	44.87103034
394	44.86913685
395	44.86653792
396	44.86447816
397	44.86369869
398	44.86179116
399	44.8602739
400	44.85910168
401	44.85707914
402	44.85530047
403	44.85333787
404	44.85205215
405	44.84894789
406	44.84682386
407	44.84510205
408	44.84309025
409	44.84135446
410	44.83826836
411	44.83721998
412	44.83551126
413	44.83313183
414	44.83081832
415	44.82732835
416	44.82473713
417	44.82281777
418	44.82100455
419	44.8175416
420	44.81483534
421	44.81275848
422	44.81092723
423	44.80729187
424	44.80494403
425	44.80332082
426	44.80123905
427	44.79934381
428	44.79728515
429	44.7962751
430	44.79382224
431	44.79156103
432	44.79004677
433	44.78838832
434	44.78681862
435	44.78314056
436	44.78036731
437	44.77845258
438	44.77683268
439	44.77378361
440	44.77130599
441	44.76907095
442	44.76734161
